booking_id,booking_date,travel_date,customer_id,cust_segment,tour_type,channel,payment_method,destination,pax,base_price_vnd,discount_rate,booking_status,revenue_vnd,satisfaction,is_returning,,
B00017,6/1/2024,8/9/2024,C0073,Corporate,Beach,Agent,Bank Transfer,Đà Lạt,1,3089000,2%,Completed,3015000,3.1,TRUE,,
B00018,2/5/2024,4/14/2024,C0083,Family,Cultural,Agent,Cash,Hạ Long,2,2175000,18%,Completed,3550000,4.4,FALSE,,
B00019,2/20/2025,4/2/2025,C0238,Family,Beach,Website,Card,TP.HCM,1,2612000,9%,Completed,2380000,3.1,TRUE,,
B00020,5/14/2025,6/25/2025,C0173,Young Professional,Adventure,Mobile App,Cash,Hội An,2,3680000,8%,Completed,6801000,4.6,TRUE,,
B00021,8/26/2025,11/16/2025,C0183,Young Professional,Cultural,Website,Card,Đà Lạt,2,1694000,2%,Completed,3307000,5,TRUE,,
B00022,8/1/2025,9/25/2025,C0202,Corporate,Beach,Mobile App,Cash,TP.HCM,1,2548000,13%,Completed,2222000,4.1,TRUE,,
B00023,3/15/2024,4/6/2024,C0312,Young Professional,Cultural,Agent,Card,Hà Nội,1,1665000,5%,Completed,1585000,4.8,FALSE,,
B00024,4/26/2025,7/3/2025,C0362,Student,Cultural,Mobile App,Cash,Đà Nẵng,3,2667000,4%,Completed,7657000,4.2,TRUE,,
B00025,6/11/2025,8/7/2025,C0222,Young Professional,Cultural,Website,Bank Transfer,Hà Nội,3,2594000,15%,Completed,6630000,5,TRUE,,
B00026,3/10/2025,4/30/2025,C0270,Student,Beach,Mobile App,Cash,Đà Lạt,2,4387000,18%,Completed,7230000,4,TRUE,,
B00027,5/25/2025,8/1/2025,C0311,Young Professional,Cultural,Website,Card,Sa Pa,4,2143000,6%,Completed,8101000,3,TRUE,,
B00028,6/6/2025,8/28/2025,C0290,Student,Family,Agent,Bank Transfer,Phú Quốc,5,4109000,19%,Completed,16683000,4.2,TRUE,,
B00029,10/5/2024,11/10/2024,C0057,Young Professional,Cultural,Website,Bank Transfer,Huế,1,2326000,7%,Completed,2175000,5,TRUE,,
B00030,1/26/2024,3/9/2024,C0413,Student,Cultural,Agent,Card,Nha Trang,2,3227000,19%,Completed,5228000,4.5,FALSE,,
B00031,10/11/2024,11/5/2024,C0070,Young Professional,Adventure,Website,Card,Phú Quốc,1,4307000,3%,Completed,4186000,3.9,TRUE,,
B00032,5/5/2024,7/6/2024,C0173,Young Professional,Family,Website,Cash,Phú Quốc,3,3607000,5%,Completed,10280000,4.4,TRUE,,
B00033,3/11/2024,4/22/2024,C0275,Family,Beach,Website,Card,Đà Nẵng,1,3672000,4%,Completed,3529000,4.7,TRUE,,
B00034,3/18/2024,4/24/2024,C0170,Corporate,Adventure,Website,Card,Đà Nẵng,3,6908000,14%,Completed,17926000,4.2,TRUE,,
B00035,3/10/2025,5/15/2025,C0103,Young Professional,Foodie,Website,Card,Hội An,2,2284000,75%,Completed,4006000,5,FALSE,,
B00036,11/10/2024,12/23/2024,C0388,Corporate,Adventure,Mobile App,Card,Sa Pa,1,3482000,5%,Completed,3315000,3.9,TRUE,,
B00037,12/2/2024,1/18/2025,C0031,Family,Foodie,Website,Card,Nha Trang,1,1739000,19%,Completed,1416000,4.7,TRUE,,
B00038,4/9/2025,5/24/2025,C0104,Corporate,City Break,Website,Cash,Đà Nẵng,1,3201000,9%,Completed,2926000,4.6,TRUE,,
B00039,12/7/2024,1/6/2025,C0418,Family,Cultural,Website,Card,Huế,2,4208000,14%,Completed,7238000,3.9,FALSE,,
B00040,1/27/2025,2/16/2025,C0307,Young Professional,Cultural,Website,Bank Transfer,TP.HCM,3,2762000,17%,Completed,6886000,4,TRUE,,
B00041,2/23/2024,5/10/2024,C0037,Student,Family,Agent,Card,Huế,3,2382000,3%,Completed,6924000,4.7,FALSE,,
B00042,6/14/2025,7/1/2025,C0317,Young Professional,Foodie,Agent,Card,Sa Pa,1,2563000,3%,Completed,2486000,4.3,TRUE,,
B00043,10/6/2024,11/11/2024,C0408,Family,Cultural,Website,Card,Hạ Long,2,5078000,12%,Cancelled,0,,TRUE,,
B00044,4/6/2024,6/9/2024,C0042,Family,Beach,Agent,Bank Transfer,Sa Pa,1,4308000,9%,Completed,3942000,3.4,FALSE,,
B00045,5/21/2025,6/10/2025,C0174,Corporate,Adventure,Agent,E-wallet,Đà Nẵng,2,3666000,12%,Completed,6474000,4.5,TRUE,,
B00046,4/2/2025,6/4/2025,C0197,Family,Beach,Call Center,Card,Phú Quốc,1,3905000,5%,Completed,3706000,4.3,TRUE,,
B00047,2/3/2024,4/12/2024,C0056,Family,Family,Website,Card,Sa Pa,2,3615000,10%,Completed,6500000,4.2,FALSE,,
B00048,4/30/2024,7/2/2024,C0085,Student,Adventure,Website,Card,Sa Pa,1,3528000,3%,Completed,3440000,4.4,TRUE,,
B00049,1/10/2024,2/13/2024,C0073,Corporate,Family,Mobile App,Card,Đà Nẵng,5,4572000,14%,Completed,19660000,4,FALSE,,
B00050,6/17/2024,6/28/2024,C0078,Family,City Break,Agent,Bank Transfer,TP.HCM,1,1849000,5%,Completed,1760000,3.9,TRUE,,
B00051,3/3/2024,5/23/2024,C0170,Corporate,Family,Agent,Card,Đà Lạt,3,2610000,10%,Completed,7016000,4.1,FALSE,,
B00052,3/18/2025,4/23/2025,C0195,Student,Family,Mobile App,E-wallet,Nha Trang,4,2701000,11%,Completed,9572000,4,TRUE,,
B00053,11/21/2024,2/4/2025,C0100,Corporate,Family,Website,Cash,Hội An,5,2945000,15%,Completed,12472000,5,TRUE,,
B00054,9/2/2025,9/28/2025,C0122,Family,City Break,Agent,Card,Hạ Long,1,2253000,9%,Completed,2059000,4.7,TRUE,,
B00055,4/11/2025,5/4/2025,C0081,Family,City Break,Agent,Bank Transfer,Sa Pa,1,2233000,7%,Completed,2068000,3.7,TRUE,,
B00056,1/15/2025,3/29/2025,C0335,Student,Beach,Website,Card,Phú Quốc,2,4008000,15%,Completed,6846000,5,TRUE,,
B00057,11/13/2024,2/7/2025,C0089,Student,Adventure,Mobile App,Bank Transfer,Đà Nẵng,1,5934000,0%,Completed,5934000,4,TRUE,,
B00058,2/3/2024,4/22/2024,C0382,Corporate,Beach,Website,Card,Nha Trang,2,4416000,8%,Completed,8090000,4.2,FALSE,,
B00059,2/13/2024,4/23/2024,C0227,Student,City Break,Mobile App,Bank Transfer,Đà Lạt,1,2932000,5%,Cancelled,0,,TRUE,,
B00060,1/18/2025,2/16/2025,C0338,Family,Family,Mobile App,Card,Đà Nẵng,2,3548000,19%,Completed,5734000,3.2,TRUE,,
B00061,1/3/2024,3/26/2024,C0268,Student,Cultural,Agent,Card,Hà Nội,1,2210000,9%,Cancelled,0,,FALSE,,
B00062,1/27/2024,3/31/2024,C0112,Young Professional,Beach,Call Center,Bank Transfer,Đà Lạt,2,4644000,9%,Completed,8489000,3.9,FALSE,,
B00063,5/16/2024,6/8/2024,C0253,Young Professional,Cultural,Website,Card,Đà Nẵng,1,2279000,6%,Completed,2147000,4.3,FALSE,,
B00064,7/4/2025,7/24/2025,C0116,Corporate,Family,Website,Card,Hội An,3,2282000,4%,Completed,6600000,4.4,TRUE,,
B00065,10/12/2024,12/31/2024,C0050,Student,Beach,Website,Bank Transfer,Hà Nội,1,4885000,4%,Completed,4670000,4.2,TRUE,,
B00066,3/18/2025,4/19/2025,C0107,Young Professional,Beach,Website,Card,Đà Nẵng,2,4069000,13%,Completed,7113000,4.1,TRUE,,
B00067,9/13/2024,11/24/2024,C0116,Corporate,City Break,Website,Bank Transfer,Hà Nội,1,2276000,10%,Completed,2060000,4.7,TRUE,,
B00068,4/17/2024,5/8/2024,C0057,Young Professional,Family,Website,Cash,Phú Quốc,4,2936000,9%,Completed,10640000,4.4,FALSE,,
B00069,8/19/2024,9/20/2024,C0010,Young Professional,Beach,Website,Cash,Hội An,2,4156000,6%,Completed,7822000,4.2,TRUE,,
B00070,2/27/2024,3/30/2024,C0397,Family,Cultural,Website,Card,Đà Lạt,1,1795000,5%,Completed,1703000,4.3,FALSE,,
B00071,4/24/2025,5/26/2025,C0216,Family,Foodie,Website,Card,TP.HCM,4,3063000,12%,Completed,10733000,5,TRUE,,
B00072,4/24/2024,6/27/2024,C0169,Young Professional,Cultural,Agent,E-wallet,Huế,4,2218000,7%,Completed,8233000,4.3,FALSE,,
B00073,8/22/2024,11/14/2024,C0391,Family,Family,Website,Card,Hội An,3,2034000,3%,Completed,5895000,3.9,TRUE,,
B00074,9/2/2025,11/24/2025,C0095,Young Professional,Cultural,Mobile App,Card,Phú Quốc,1,1702000,17%,Completed,1419000,3.2,TRUE,,
B00075,1/3/2025,3/14/2025,C0170,Corporate,Cultural,Agent,Card,Hội An,1,2719000,17%,Completed,2268000,3.5,TRUE,,
B00076,10/12/2024,11/7/2024,C0356,Young Professional,Beach,Mobile App,Card,Sa Pa,1,4186000,18%,Completed,3441000,4,TRUE,,
B00077,12/4/2024,3/1/2025,C0266,Student,Family,Website,Cash,Hạ Long,3,3588000,14%,Completed,9279000,4.1,TRUE,,
B00078,5/3/2025,6/25/2025,C0168,Family,Beach,Website,Bank Transfer,Đà Lạt,3,2643000,9%,Completed,7255000,3.9,TRUE,,
B00079,6/7/2024,7/31/2024,C0108,Young Professional,Beach,Mobile App,Bank Transfer,Phú Quốc,3,4665000,15%,Completed,11938000,4.4,FALSE,,
B00080,1/31/2025,4/7/2025,C0015,Young Professional,Family,Mobile App,Bank Transfer,Đà Nẵng,3,3384000,10%,Completed,9116000,3.9,TRUE,,
B00081,6/27/2025,9/7/2025,C0036,Student,Foodie,Website,Card,Phú Quốc,1,3055000,6%,Completed,2881000,3.7,FALSE,,
B00082,12/22/2024,3/19/2025,C0069,Student,Family,Website,Card,Đà Lạt,2,3265000,3%,Completed,6347000,4.5,TRUE,,
B00083,10/5/2024,12/1/2024,C0331,Family,Cultural,Mobile App,Card,Hà Nội,2,3361000,13%,Completed,5848000,4.9,TRUE,,
B00084,3/31/2024,5/29/2024,C0269,Student,Adventure,Website,Bank Transfer,Huế,1,4778000,23%,Completed,3698000,3.6,TRUE,,
B00085,6/3/2024,8/12/2024,C0183,Young Professional,Cultural,Mobile App,Card,Hạ Long,3,3106000,2%,Completed,9104000,4.3,FALSE,,
B00086,8/12/2025,9/11/2025,C0329,Family,Cultural,Website,Cash,Đà Nẵng,3,2797000,8%,Completed,7753000,3.2,TRUE,,
B00087,12/3/2024,1/6/2025,C0068,Young Professional,Adventure,Website,Card,Huế,1,4633000,10%,Completed,4165000,3.5,FALSE,,
B00088,7/6/2024,9/4/2024,C0089,Student,Cultural,Agent,Bank Transfer,Đà Nẵng,2,1906000,19%,Completed,3076000,3.9,FALSE,,
B00089,9/17/2024,10/2/2024,C0165,Family,Adventure,Website,Bank Transfer,Nha Trang,2,3458000,4%,Completed,6619000,4.8,TRUE,,
B00090,12/26/2024,1/30/2025,C0386,Corporate,City Break,Mobile App,Bank Transfer,Hạ Long,3,3145000,-20%,Completed,9416000,3.8,TRUE,,
B00091,11/30/2024,2/6/2025,C0258,Student,Foodie,Website,Card,Đà Nẵng,1,3244000,25%,Completed,2433000,3.8,TRUE,,
B00092,3/11/2025,6/8/2025,C0358,Family,Beach,Website,E-wallet,Nha Trang,1,4454000,7%,Completed,4133000,4.2,TRUE,,
B00093,6/9/2024,7/31/2024,C0105,Family,Cultural,Agent,Card,Phú Quốc,2,2055000,8%,Completed,3789000,4.2,TRUE,,
B00094,2/8/2025,3/22/2025,C0357,Family,Beach,Website,Card,TP.HCM,1,2744000,11%,Completed,2448000,3.8,TRUE,,
B00095,10/2/2024,11/16/2024,C0031,Family,Cultural,Website,Card,Nha Trang,2,3811000,15%,Completed,6494000,5,TRUE,,
B00096,8/8/2025,10/12/2025,C0096,Family,Cultural,Agent,Card,Đà Nẵng,1,2792000,3%,Completed,2711000,4.1,TRUE,,
B00097,4/8/2024,6/1/2024,C0220,Young Professional,Beach,Agent,Cash,Phú Quốc,2,3254000,3%,Completed,6339000,4.3,FALSE,,
B00098,4/2/2024,4/13/2024,C0022,Young Professional,Family,Mobile App,Card,Đà Nẵng,4,3454000,13%,Completed,12075000,4,FALSE,,
B00099,10/14/2024,12/6/2024,C0361,Corporate,Adventure,Website,Card,Đà Nẵng,1,5221000,-20%,Cancelled,0,,TRUE,,
B00100,11/12/2024,12/24/2024,C0365,Family,Foodie,Website,Cash,Phú Quốc,1,2113000,5%,Completed,2012000,4.8,TRUE,,
B00101,3/6/2025,5/11/2025,C0228,Family,Beach,Mobile App,Bank Transfer,TP.HCM,2,3480000,10%,Completed,6278000,5,TRUE,,
B00102,9/8/2024,11/27/2024,C0129,Student,Beach,Website,Cash,Nha Trang,1,3523000,10%,Completed,3164000,3.8,TRUE,,
B00103,7/23/2025,10/18/2025,C0042,Family,Cultural,Website,Cash,Phú Quốc,2,2838000,9%,Completed,5182000,4.8,TRUE,,
B00104,10/22/2024,12/20/2024,C0260,Family,Beach,Agent,Card,Sa Pa,2,4953000,2%,Completed,9708000,4.5,TRUE,,
B00105,3/21/2024,4/29/2024,C0226,Corporate,Cultural,Website,Bank Transfer,Hà Nội,1,2233000,1%,Completed,2208000,4.7,FALSE,,
B00106,3/15/2024,4/29/2024,C0320,Corporate,Foodie,Website,Card,Hạ Long,3,3582000,13%,Completed,9360000,4.2,TRUE,,
B00107,8/29/2025,9/22/2025,C0254,Young Professional,Beach,Website,Card,Phú Quốc,2,4430000,10%,Completed,7956000,4.1,TRUE,,
B00108,3/24/2024,6/17/2024,C0054,Family,Beach,Website,Card,Đà Lạt,2,2629000,1%,Completed,5232000,4.7,FALSE,,
B00109,8/13/2025,10/30/2025,C0052,Student,Adventure,Mobile App,Cash,Sa Pa,1,4313000,12%,Completed,3778000,4.7,TRUE,,
B00110,6/22/2024,9/9/2024,C0328,Young Professional,Adventure,Agent,Card,Sa Pa,1,3031000,10%,Completed,2722000,5,FALSE,,
B00111,2/28/2024,4/4/2024,C0067,Family,Adventure,Website,Cash,Hội An,1,3179000,9%,Completed,2887000,4.3,FALSE,,
B00112,7/8/2024,8/13/2024,C0395,Student,Cultural,Website,Card,Hội An,3,2728000,0%,Completed,8184000,4.1,TRUE,,
B00112,7/8/2024,8/13/2024,C0395,Student,Cultural,Website,Card,Hội An,3,2728000,0%,Completed,8184000,4.1,TRUE,,
B00113,1/17/2025,4/6/2025,C0045,Family,City Break,Mobile App,Card,Sa Pa,3,2519000,16%,Completed,6340000,3,TRUE,,
B00114,9/23/2024,11/16/2024,C0306,Young Professional,Beach,Website,Card,Huế,3,4930000,5%,Completed,14110000,3.4,FALSE,,
B00115,5/4/2025,7/10/2025,C0410,Corporate,Cultural,Mobile App,Card,Hội An,1,3085000,6%,Completed,2891000,4,TRUE,,
B00116,1/15/2025,3/5/2025,C0186,Family,Family,Agent,Card,Sa Pa,3,2449000,7%,Completed,6818000,3.6,TRUE,,
B00117,9/6/2024,10/21/2024,C0024,Corporate,City Break,Mobile App,Cash,Sa Pa,2,1850000,10%,Completed,3341000,4.6,TRUE,,
B00118,1/30/2025,4/1/2025,C0369,Young Professional,Cultural,Website,Card,Hạ Long,2,3906000,19%,Completed,6336000,3.5,FALSE,,
B00119,8/28/2025,11/11/2025,C0079,Family,Adventure,Call Center,Card,Huế,1,5610000,15%,Completed,4757000,3.9,TRUE,,
B00120,9/13/2024,10/20/2024,C0222,Young Professional,Beach,Website,Cash,TP.HCM,3,3079000,19%,Completed,7500000,4,TRUE,,
B00121,4/5/2024,6/19/2024,C0414,Corporate,Beach,Agent,Card,TP.HCM,1,3304000,7%,Completed,3063000,4.8,FALSE,,
B00122,9/11/2024,10/10/2024,C0313,Young Professional,Beach,Mobile App,Card,Hội An,1,3716000,14%,Cancelled,0,,TRUE,,
B00123,6/7/2025,7/19/2025,C0020,Family,Family,Mobile App,Card,Nha Trang,5,3681000,0%,Completed,18405000,4.4,TRUE,,
B00124,5/15/2024,8/6/2024,C0345,Family,Cultural,Agent,Card,Hội An,1,2569000,5%,Completed,2448000,4.3,FALSE,,
B00125,8/14/2025,11/9/2025,C0068,Young Professional,Family,Mobile App,Card,Sa Pa,3,3448000,11%,Completed,9237000,4.7,TRUE,,
B00126,1/1/2025,3/26/2025,C0315,Young Professional,Beach,Website,Cash,Huế,2,2963000,19%,Completed,4782000,4.6,TRUE,,
B00127,1/9/2025,2/13/2025,C0261,Student,City Break,Website,Card,Nha Trang,4,1630000,9%,Completed,5933000,4.2,TRUE,,
B00128,7/16/2024,10/2/2024,C0121,Family,City Break,Mobile App,Bank Transfer,Phú Quốc,1,2336000,14%,Completed,2018000,3.4,TRUE,,
B00129,7/27/2025,10/20/2025,C0178,Corporate,Beach,Mobile App,Card,TP.HCM,2,3752000,13%,Completed,6498000,4.1,TRUE,,
B00130,1/23/2024,4/21/2024,C0050,Student,Beach,Website,Cash,Hội An,1,2906000,19%,Completed,2357000,4.2,FALSE,,
B00131,7/5/2024,7/16/2024,C0415,Student,Beach,Agent,Bank Transfer,Hà Nội,1,4624000,6%,Completed,4370000,4.3,TRUE,,
B00132,9/17/2024,11/26/2024,C0101,Corporate,City Break,Mobile App,Card,Nha Trang,1,2838000,17%,Completed,2356000,3.8,FALSE,,
B00133,10/24/2024,1/22/2025,C0130,Family,Cultural,Website,Card,Hội An,2,2928000,2%,Completed,5751000,4.8,TRUE,,
B00134,10/22/2024,1/1/2025,C0212,Family,Adventure,Website,Card,Sa Pa,1,5459000,2%,Completed,5333000,4.2,TRUE,,
B00135,4/2/2024,4/30/2024,C0283,Young Professional,Cultural,Website,E-wallet,Phú Quốc,1,2486000,0%,Completed,2486000,3.7,FALSE,,
B00136,5/20/2024,7/30/2024,C0213,Student,City Break,Website,E-wallet,Đà Lạt,2,2876000,9%,Completed,5229000,4,TRUE,,
B00137,2/29/2024,3/18/2024,C0213,Student,Adventure,Website,Card,Hà Nội,2,4188000,16%,Completed,7036000,5,TRUE,,
B00138,12/22/2024,2/8/2025,C0245,Family,Adventure,Website,Bank Transfer,TP.HCM,2,4083000,17%,Completed,6745000,4.5,TRUE,,
B00139,8/6/2024,10/5/2024,C0361,Corporate,Foodie,Website,Card,Huế,3,2623000,8%,Completed,7247000,4.7,FALSE,,
B00140,12/18/2024,2/2/2025,C0166,Young Professional,Beach,Website,Card,Huế,1,4181000,9%,Completed,3821000,3.7,TRUE,,
B00141,1/2/2025,3/9/2025,C0350,Student,City Break,Mobile App,Cash,Đà Lạt,1,2533000,11%,Completed,2247000,3.9,TRUE,,
B00142,3/13/2025,4/11/2025,C0331,Family,Beach,Website,Card,Đà Nẵng,1,5894000,21%,Completed,4674000,3.9,TRUE,,
B00143,12/6/2024,2/3/2025,C0404,Student,Adventure,Call Center,Card,Nha Trang,2,-100000,22%,Cancelled,0,,TRUE,,
B00144,2/7/2025,4/10/2025,C0384,Young Professional,City Break,Agent,Bank Transfer,Phú Quốc,1,2034000,17%,Completed,1692000,4.1,TRUE,,
B00145,12/31/2024,3/2/2025,C0336,Family,Family,Mobile App,Card,Đà Lạt,3,3856000,14%,Completed,9948000,4,TRUE,,
B00146,2/10/2025,3/15/2025,C0104,Corporate,Family,Call Center,Cash,Hà Nội,2,3069000,20%,Completed,4910000,4,TRUE,,
B00147,1/19/2025,2/22/2025,C0326,Family,Cultural,Agent,Card,Đà Lạt,1,2304000,11%,Completed,2062000,3.8,TRUE,,
B00148,7/16/2024,8/15/2024,C0310,Student,Cultural,Website,Card,Đà Nẵng,4,1957000,4%,Completed,7484000,4.1,FALSE,,
B00149,6/2/2024,7/19/2024,C0122,Family,Cultural,Agent,Card,,2,2901000,6%,Completed,5483000,4.8,FALSE,,
B00150,5/5/2025,7/1/2025,C0285,Family,Adventure,Website,E-wallet,TP.HCM,1,4212000,2%,Cancelled,0,,TRUE,,
B00151,8/1/2024,9/9/2024,C0107,Young Professional,Adventure,Mobile App,Card,Phú Quốc,2,4792000,11%,Completed,8539000,4.4,FALSE,,
B00152,12/8/2024,1/20/2025,C0220,Young Professional,Cultural,Mobile App,Card,Hội An,2,1624000,5%,Cancelled,0,,TRUE,,
B00153,5/2/2024,6/4/2024,C0335,Student,Cultural,Website,Cash,Đà Nẵng,1,2228000,10%,Completed,2003000,4.1,FALSE,,
B00154,9/25/2024,10/22/2024,C0080,Family,Cultural,Website,E-wallet,Hội An,1,1554000,15%,Cancelled,0,,TRUE,,
B00155,11/25/2024,1/27/2025,C0142,Young Professional,Cultural,Call Center,E-wallet,Nha Trang,2,3434000,21%,Completed,5453000,4.7,TRUE,,
B00156,1/25/2025,4/11/2025,C0334,Corporate,Beach,Website,Cash,Sa Pa,1,2881000,2%,Completed,2818000,3.7,TRUE,,
B00157,11/23/2024,12/26/2024,C0191,Corporate,City Break,Website,Card,Huế,2,1861000,14%,Completed,3216000,4.2,TRUE,,
B00158,8/12/2024,10/30/2024,C0404,Student,Family,Website,Cash,TP.HCM,3,3472000,3%,Completed,10145000,3.7,TRUE,,
B00159,8/22/2025,10/17/2025,C0004,Family,Beach,Mobile App,Bank Transfer,Hạ Long,2,2995000,5%,Completed,5702000,3.3,TRUE,,
B00160,11/15/2024,12/8/2024,C0304,Young Professional,Family,Agent,Bank Transfer,Phú Quốc,5,3097000,4%,Completed,14943000,4.1,TRUE,,
B00161,5/18/2025,6/26/2025,C0342,Corporate,City Break,Agent,Bank Transfer,Phú Quốc,2,2108000,11%,Completed,3744000,3.6,FALSE,,
B00162,4/3/2025,4/13/2025,C0386,Corporate,Cultural,Website,Card,Đà Lạt,2,1941000,13%,Completed,3362000,4.2,TRUE,,
B00163,12/13/2024,12/26/2024,C0066,Family,Beach,Website,Card,Đà Lạt,1,2662000,5%,Completed,2529000,4.8,TRUE,,
B00164,7/6/2025,8/12/2025,C0414,Corporate,Beach,Website,Cash,Hà Nội,2,2788000,3%,Completed,5420000,5,TRUE,,
B00165,3/20/2024,5/5/2024,C0165,Family,Beach,Mobile App,Card,Huế,3,4658000,4%,Completed,13457000,4.2,FALSE,,
B00166,7/27/2025,10/9/2025,C0148,Young Professional,Family,Agent,Card,Hội An,5,2402000,19%,Completed,9752000,4.7,TRUE,,
B00167,6/13/2025,7/3/2025,C0150,Student,Foodie,Agent,Card,Đà Lạt,3,2784000,9%,Completed,7584000,4.4,TRUE,,
B00168,11/9/2024,1/25/2025,C0269,Student,Beach,Website,Cash,Hội An,1,4899000,20%,Completed,3914000,4,TRUE,,
B00169,4/1/2025,4/29/2025,C0277,Young Professional,Family,Mobile App,Bank Transfer,Hà Nội,4,3225000,14%,Completed,11042000,3.2,TRUE,,
B00170,11/20/2024,12/11/2024,C0200,Young Professional,Beach,Website,Bank Transfer,TP.HCM,3,4533000,0%,Cancelled,0,,TRUE,,
B00171,6/16/2024,8/21/2024,C0030,Family,Adventure,Mobile App,Bank Transfer,Phú Quốc,2,4966000,1%,Completed,9833000,3.7,TRUE,,
B00172,5/13/2025,7/24/2025,C0415,Student,Family,Mobile App,Bank Transfer,Nha Trang,4,3778000,8%,Completed,13918000,4.9,TRUE,,
B00173,6/2/2024,7/30/2024,C0094,Young Professional,Cultural,Mobile App,Bank Transfer,,2,2476000,5%,Completed,4729000,4.5,TRUE,,
B00174,7/14/2024,8/2/2024,C0040,Family,Beach,Mobile App,Card,Phú Quốc,2,3361000,4%,Cancelled,0,,TRUE,,
B00175,11/19/2024,12/8/2024,C0251,Family,Adventure,Agent,Cash,Hội An,1,4991000,2%,Completed,4911000,4.4,FALSE,,
B00176,6/5/2025,7/16/2025,C0174,Corporate,Foodie,Website,Card,Hạ Long,1,3285000,10%,Completed,2963000,5,TRUE,,
B00177,8/27/2024,10/12/2024,C0259,Student,Cultural,Website,Card,Hà Nội,3,2464000,15%,Completed,6305000,5,FALSE,,
B00178,11/3/2024,2/1/2025,C0368,Family,Beach,Website,Card,Phú Quốc,3,3911000,15%,Completed,9973000,3.9,FALSE,,
B00179,1/26/2024,2/28/2024,C0041,Young Professional,Beach,Mobile App,Bank Transfer,Phú Quốc,3,4900000,8%,Completed,13495000,3.8,FALSE,,
B00180,3/13/2024,4/7/2024,C0120,Family,Adventure,Mobile App,Bank Transfer,Đà Nẵng,1,4281000,13%,Completed,3720000,4.3,TRUE,,
B00181,2/4/2024,4/30/2024,C0217,Student,Adventure,Mobile App,E-wallet,TP.HCM,1,5820000,4%,Completed,5587000,4.1,FALSE,,
B00182,2/14/2024,3/7/2024,C0331,Family,City Break,Agent,E-wallet,Đà Nẵng,1,1922000,11%,Completed,1707000,4.8,FALSE,,
B00183,6/25/2025,7/7/2025,C0253,Young Professional,Family,Website,Bank Transfer,TP.HCM,4,3987000,0%,Completed,15948000,4.6,TRUE,,
B00184,6/8/2025,7/22/2025,C0161,Student,City Break,Mobile App,Card,Hội An,2,1383000,0%,Completed,2766000,3.4,TRUE,,
B00185,5/27/2025,7/8/2025,C0257,Family,City Break,Agent,Bank Transfer,TP.HCM,4,2262000,5%,Completed,8623000,4.4,TRUE,,
B00186,2/4/2024,4/4/2024,C0412,Family,Cultural,Website,Bank Transfer,Phú Quốc,1,1668000,26%,Completed,1229000,4.1,FALSE,,
B00187,2/18/2024,5/9/2024,C0202,Corporate,Adventure,Website,Bank Transfer,TP.HCM,2,4867000,1%,Completed,9617000,4.2,FALSE,,
