Mã đặt chỗ,Ngày đặt tour,Ngày đi tour,Mã khách hàng,Nhóm khách hàng,Loại tour,Kênh bán hàng,Kênh thanh toán,Địa điểm,Số lượng người đi,Giá gốc (VND),Giảm giá,Mức độ hoàn thành,Giá cuối cùng,Mức độ hài lòng,Trở lại sử dụng dịch vụ
B00075,1/3/2025,3/14/2025,C0170,Doanh nghiệp,Văn hóa,Đại lý,Thẻ,Hội An,1,2719000,17%,Hoàn thành,2268000,3.5,Đúng
B00076,10/12/2024,11/7/2024,C0356,Người đi làm,Biển,App điện thoại,Thẻ,Sa Pa,1,4186000,18%,Hoàn thành,3441000,4,Đúng
B00077,12/4/2024,3/1/2025,C0266,Học sinh,Gia đình,Website,Tiền,Hạ Long,3,3588000,14%,Hoàn thành,9279000,4.1,Đúng
B00078,5/3/2025,6/25/2025,C0168,Gia đình,Biển,Website,Chuyển khoản,Đà Lạt,3,2643000,9%,Hoàn thành,7255000,3.9,Đúng
B00079,6/7/2024,7/31/2024,C0108,Người đi làm,Biển,App điện thoại,Chuyển khoản,Phú Quốc,3,4665000,15%,Hoàn thành,11938000,4.4,Sai
B00080,1/31/2025,4/7/2025,C0015,Người đi làm,Gia đình,App điện thoại,Chuyển khoản,Đà Nẵng,3,3384000,10%,Hoàn thành,9116000,3.9,Đúng
B00081,6/27/2025,9/7/2025,C0036,Học sinh,Ăn uống,Website,Thẻ,Phú Quốc,1,3055000,6%,Hoàn thành,2881000,3.7,Sai
B00082,12/22/2024,3/19/2025,C0069,Học sinh,Gia đình,Website,Thẻ,Đà Lạt,2,3265000,3%,Hoàn thành,6347000,4.5,Đúng
B00083,10/5/2024,12/1/2024,C0331,Gia đình,Văn hóa,App điện thoại,Thẻ,Hà Nội,2,3361000,13%,Hoàn thành,5848000,4.9,Đúng
B00084,3/31/2024,5/29/2024,C0269,Học sinh,Khám phá,Website,Chuyển khoản,Huế,1,4778000,23%,Hoàn thành,3698000,3.6,Đúng
B00085,6/3/2024,8/12/2024,C0183,Người đi làm,Văn hóa,App điện thoại,Thẻ,Hạ Long,3,3106000,2%,Hoàn thành,9104000,4.3,Sai
B00086,8/12/2025,9/11/2025,C0329,Gia đình,Văn hóa,Website,Tiền,Đà Nẵng,3,2797000,8%,Hoàn thành,7753000,3.2,Đúng
B00087,12/3/2024,1/6/2025,C0068,Người đi làm,Khám phá,Website,Thẻ,Huế,1,4633000,10%,Hoàn thành,4165000,3.5,Sai
B00088,7/6/2024,9/4/2024,C0089,Học sinh,Văn hóa,Đại lý,Chuyển khoản,Đà Nẵng,2,1906000,19%,Hoàn thành,3076000,3.9,Sai
B00089,9/17/2024,10/2/2024,C0165,Gia đình,Khám phá,Website,Chuyển khoản,Nha Trang,2,3458000,4%,Hoàn thành,6619000,4.8,Đúng
B00090,12/26/2024,1/30/2025,C0386,Doanh nghiệp,City Break,App điện thoại,Chuyển khoản,Hạ Long,3,3145000,-20%,Hoàn thành,9416000,3.8,Đúng
B00091,11/30/2024,2/6/2025,C0258,Học sinh,Ăn uống,Website,Thẻ,Đà Nẵng,1,3244000,25%,Hoàn thành,2433000,3.8,Đúng
B00092,3/11/2025,6/8/2025,C0358,Gia đình,Biển,Website,Ví điện tử,Nha Trang,1,4454000,7%,Hoàn thành,4133000,4.2,Đúng
B00093,6/9/2024,7/31/2024,C0105,Gia đình,Văn hóa,Đại lý,Thẻ,Phú Quốc,2,2055000,8%,Hoàn thành,3789000,4.2,Đúng
B00094,2/8/2025,3/22/2025,C0357,Gia đình,Biển,Website,Thẻ,TP.HCM,1,2744000,11%,Hoàn thành,2448000,3.8,Đúng
B00095,10/2/2024,11/16/2024,C0031,Gia đình,Văn hóa,Website,Thẻ,Nha Trang,2,3811000,15%,Hoàn thành,6494000,5,Đúng
B00096,8/8/2025,10/12/2025,C0096,Gia đình,Văn hóa,Đại lý,Thẻ,Đà Nẵng,1,2792000,3%,Hoàn thành,2711000,4.1,Đúng
B00097,4/8/2024,6/1/2024,C0220,Người đi làm,Biển,Đại lý,Tiền,Phú Quốc,2,3254000,3%,Hoàn thành,6339000,4.3,Sai
B00098,4/2/2024,4/13/2024,C0022,Người đi làm,Gia đình,App điện thoại,Thẻ,Đà Nẵng,4,3454000,13%,Hoàn thành,12075000,4,Sai
B00099,10/14/2024,12/6/2024,C0361,Doanh nghiệp,Khám phá,Website,Thẻ,Đà Nẵng,1,5221000,-20%,Hủy bỏ,0,,Đúng
B00100,11/12/2024,12/24/2024,C0365,Gia đình,Ăn uống,Website,Tiền,Phú Quốc,1,2113000,5%,Hoàn thành,2012000,4.8,Đúng
B00101,3/6/2025,5/11/2025,C0228,Gia đình,Biển,App điện thoại,Chuyển khoản,TP.HCM,2,3480000,10%,Hoàn thành,6278000,5,Đúng
B00102,9/8/2024,11/27/2024,C0129,Học sinh,Biển,Website,Tiền,Nha Trang,1,3523000,10%,Hoàn thành,3164000,3.8,Đúng
B00103,7/23/2025,10/18/2025,C0042,Gia đình,Văn hóa,Website,Tiền,Phú Quốc,2,2838000,9%,Hoàn thành,5182000,4.8,Đúng
B00104,10/22/2024,12/20/2024,C0260,Gia đình,Biển,Đại lý,Thẻ,Sa Pa,2,4953000,2%,Hoàn thành,9708000,4.5,Đúng
B00105,3/21/2024,4/29/2024,C0226,Doanh nghiệp,Văn hóa,Website,Chuyển khoản,Hà Nội,1,2233000,1%,Hoàn thành,2208000,4.7,Sai
B00106,3/15/2024,4/29/2024,C0320,Doanh nghiệp,Ăn uống,Website,Thẻ,Hạ Long,3,3582000,13%,Hoàn thành,9360000,4.2,Đúng
B00107,8/29/2025,9/22/2025,C0254,Người đi làm,Biển,Website,Thẻ,Phú Quốc,2,4430000,10%,Hoàn thành,7956000,4.1,Đúng
B00108,3/24/2024,6/17/2024,C0054,Gia đình,Biển,Website,Thẻ,Đà Lạt,2,2629000,1%,Hoàn thành,5232000,4.7,Sai
B00109,8/13/2025,10/30/2025,C0052,Học sinh,Khám phá,App điện thoại,Tiền,Sa Pa,1,4313000,12%,Hoàn thành,3778000,4.7,Đúng
B00110,6/22/2024,9/9/2024,C0328,Người đi làm,Khám phá,Đại lý,Thẻ,Sa Pa,1,3031000,10%,Hoàn thành,2722000,5,Sai
B00111,2/28/2024,4/4/2024,C0067,Gia đình,Khám phá,Website,Tiền,Hội An,1,3179000,9%,Hoàn thành,2887000,4.3,Sai
B00112,7/8/2024,8/13/2024,C0395,Học sinh,Văn hóa,Website,Thẻ,Hội An,3,2728000,0%,Hoàn thành,8184000,4.1,Đúng
B00112,7/8/2024,8/13/2024,C0395,Học sinh,Văn hóa,Website,Thẻ,Hội An,3,2728000,0%,Hoàn thành,8184000,4.1,Đúng
B00113,1/17/2025,4/6/2025,C0045,Gia đình,City Break,App điện thoại,Thẻ,Sa Pa,3,2519000,16%,Hoàn thành,6340000,3,Đúng
B00114,9/23/2024,11/16/2024,C0306,Người đi làm,Biển,Website,Thẻ,Huế,3,4930000,5%,Hoàn thành,14110000,3.4,Sai
B00115,5/4/2025,7/10/2025,C0410,Doanh nghiệp,Văn hóa,App điện thoại,Thẻ,Hội An,1,3085000,6%,Hoàn thành,2891000,4,Đúng
B00116,1/15/2025,3/5/2025,C0186,Gia đình,Gia đình,Đại lý,Thẻ,Sa Pa,3,2449000,7%,Hoàn thành,6818000,3.6,Đúng
B00117,9/6/2024,10/21/2024,C0024,Doanh nghiệp,City Break,App điện thoại,Tiền,Sa Pa,2,1850000,10%,Hoàn thành,3341000,4.6,Đúng
B00118,1/30/2025,4/1/2025,C0369,Người đi làm,Văn hóa,Website,Thẻ,Hạ Long,2,3906000,19%,Hoàn thành,6336000,3.5,Sai
B00119,8/28/2025,11/11/2025,C0079,Gia đình,Khám phá,Gọi điện tư vấn,Thẻ,Huế,1,5610000,15%,Hoàn thành,4757000,3.9,Đúng
B00120,9/13/2024,10/20/2024,C0222,Người đi làm,Biển,Website,Tiền,TP.HCM,3,3079000,19%,Hoàn thành,7500000,4,Đúng
B00121,4/5/2024,6/19/2024,C0414,Doanh nghiệp,Biển,Đại lý,Thẻ,TP.HCM,1,3304000,7%,Hoàn thành,3063000,4.8,Sai
B00122,9/11/2024,10/10/2024,C0313,Người đi làm,Biển,App điện thoại,Thẻ,Hội An,1,3716000,14%,Hủy bỏ,0,,Đúng
B00123,6/7/2025,7/19/2025,C0020,Gia đình,Gia đình,App điện thoại,Thẻ,Nha Trang,5,3681000,0%,Hoàn thành,18405000,4.4,Đúng
B00124,5/15/2024,8/6/2024,C0345,Gia đình,Văn hóa,Đại lý,Thẻ,Hội An,1,2569000,5%,Hoàn thành,2448000,4.3,Sai
B00125,8/14/2025,11/9/2025,C0068,Người đi làm,Gia đình,App điện thoại,Thẻ,Sa Pa,3,3448000,11%,Hoàn thành,9237000,4.7,Đúng
B00126,1/1/2025,3/26/2025,C0315,Người đi làm,Biển,Website,Tiền,Huế,2,2963000,19%,Hoàn thành,4782000,4.6,Đúng
B00127,1/9/2025,2/13/2025,C0261,Học sinh,City Break,Website,Thẻ,Nha Trang,4,1630000,9%,Hoàn thành,5933000,4.2,Đúng
B00128,7/16/2024,10/2/2024,C0121,Gia đình,City Break,App điện thoại,Chuyển khoản,Phú Quốc,1,2336000,14%,Hoàn thành,2018000,3.4,Đúng
B00129,7/27/2025,10/20/2025,C0178,Doanh nghiệp,Biển,App điện thoại,Thẻ,TP.HCM,2,3752000,13%,Hoàn thành,6498000,4.1,Đúng
B00130,1/23/2024,4/21/2024,C0050,Học sinh,Biển,Website,Tiền,Hội An,1,2906000,19%,Hoàn thành,2357000,4.2,Sai
B00131,7/5/2024,7/16/2024,C0415,Học sinh,Biển,Đại lý,Chuyển khoản,Hà Nội,1,4624000,6%,Hoàn thành,4370000,4.3,Đúng
B00132,9/17/2024,11/26/2024,C0101,Doanh nghiệp,City Break,App điện thoại,Thẻ,Nha Trang,1,2838000,17%,Hoàn thành,2356000,3.8,Sai
B00133,10/24/2024,1/22/2025,C0130,Gia đình,Văn hóa,Website,Thẻ,Hội An,2,2928000,2%,Hoàn thành,5751000,4.8,Đúng
B00134,10/22/2024,1/1/2025,C0212,Gia đình,Khám phá,Website,Thẻ,Sa Pa,1,5459000,2%,Hoàn thành,5333000,4.2,Đúng
B00135,4/2/2024,4/30/2024,C0283,Người đi làm,Văn hóa,Website,Ví điện tử,Phú Quốc,1,2486000,0%,Hoàn thành,2486000,3.7,Sai
B00136,5/20/2024,7/30/2024,C0213,Học sinh,City Break,Website,Ví điện tử,Đà Lạt,2,2876000,9%,Hoàn thành,5229000,4,Đúng
B00137,2/29/2024,3/18/2024,C0213,Học sinh,Khám phá,Website,Thẻ,Hà Nội,2,4188000,16%,Hoàn thành,7036000,5,Đúng
B00138,12/22/2024,2/8/2025,C0245,Gia đình,Khám phá,Website,Chuyển khoản,TP.HCM,2,4083000,17%,Hoàn thành,6745000,4.5,Đúng
B00139,8/6/2024,10/5/2024,C0361,Doanh nghiệp,Ăn uống,Website,Thẻ,Huế,3,2623000,8%,Hoàn thành,7247000,4.7,Sai
B00140,12/18/2024,2/2/2025,C0166,Người đi làm,Biển,Website,Thẻ,Huế,1,4181000,9%,Hoàn thành,3821000,3.7,Đúng
B00141,1/2/2025,3/9/2025,C0350,Học sinh,City Break,App điện thoại,Tiền,Đà Lạt,1,2533000,11%,Hoàn thành,2247000,3.9,Đúng
B00142,3/13/2025,4/11/2025,C0331,Gia đình,Biển,Website,Thẻ,Đà Nẵng,1,5894000,21%,Hoàn thành,4674000,3.9,Đúng
B00143,12/6/2024,2/3/2025,C0404,Học sinh,Khám phá,Gọi điện tư vấn,Thẻ,Nha Trang,2,-100000,22%,Hủy bỏ,0,,Đúng
B00144,2/7/2025,4/10/2025,C0384,Người đi làm,City Break,Đại lý,Chuyển khoản,Phú Quốc,1,2034000,17%,Hoàn thành,1692000,4.1,Đúng
B00145,12/31/2024,3/2/2025,C0336,Gia đình,Gia đình,App điện thoại,Thẻ,Đà Lạt,3,3856000,14%,Hoàn thành,9948000,4,Đúng
B00146,2/10/2025,3/15/2025,C0104,Doanh nghiệp,Gia đình,Gọi điện tư vấn,Tiền,Hà Nội,2,3069000,20%,Hoàn thành,4910000,4,Đúng
B00147,1/19/2025,2/22/2025,C0326,Gia đình,Văn hóa,Đại lý,Thẻ,Đà Lạt,1,2304000,11%,Hoàn thành,2062000,3.8,Đúng
B00148,7/16/2024,8/15/2024,C0310,Học sinh,Văn hóa,Website,Thẻ,Đà Nẵng,4,1957000,4%,Hoàn thành,7484000,4.1,Sai
B00149,6/2/2024,7/19/2024,C0122,Gia đình,Văn hóa,Đại lý,Thẻ,Khác,2,2901000,6%,Hoàn thành,5483000,4.8,Sai
B00150,5/5/2025,7/1/2025,C0285,Gia đình,Khám phá,Website,Ví điện tử,TP.HCM,1,4212000,2%,Hủy bỏ,0,,Đúng
B00151,8/1/2024,9/9/2024,C0107,Người đi làm,Khám phá,App điện thoại,Thẻ,Phú Quốc,2,4792000,11%,Hoàn thành,8539000,4.4,Sai
B00152,12/8/2024,1/20/2025,C0220,Người đi làm,Văn hóa,App điện thoại,Thẻ,Hội An,2,1624000,5%,Hủy bỏ,0,,Đúng
B00153,5/2/2024,6/4/2024,C0335,Học sinh,Văn hóa,Website,Tiền,Đà Nẵng,1,2228000,10%,Hoàn thành,2003000,4.1,Sai
B00154,9/25/2024,10/22/2024,C0080,Gia đình,Văn hóa,Website,Ví điện tử,Hội An,1,1554000,15%,Hủy bỏ,0,,Đúng
B00155,11/25/2024,1/27/2025,C0142,Người đi làm,Văn hóa,Gọi điện tư vấn,Ví điện tử,Nha Trang,2,3434000,21%,Hoàn thành,5453000,4.7,Đúng
B00156,1/25/2025,4/11/2025,C0334,Doanh nghiệp,Biển,Website,Tiền,Sa Pa,1,2881000,2%,Hoàn thành,2818000,3.7,Đúng
B00157,11/23/2024,12/26/2024,C0191,Doanh nghiệp,City Break,Website,Thẻ,Huế,2,1861000,14%,Hoàn thành,3216000,4.2,Đúng
B00158,8/12/2024,10/30/2024,C0404,Học sinh,Gia đình,Website,Tiền,TP.HCM,3,3472000,3%,Hoàn thành,10145000,3.7,Đúng
B00159,8/22/2025,10/17/2025,C0004,Gia đình,Biển,App điện thoại,Chuyển khoản,Hạ Long,2,2995000,5%,Hoàn thành,5702000,3.3,Đúng
B00160,11/15/2024,12/8/2024,C0304,Người đi làm,Gia đình,Đại lý,Chuyển khoản,Phú Quốc,5,3097000,4%,Hoàn thành,14943000,4.1,Đúng
B00161,5/18/2025,6/26/2025,C0342,Doanh nghiệp,City Break,Đại lý,Chuyển khoản,Phú Quốc,2,2108000,11%,Hoàn thành,3744000,3.6,Sai
B00162,4/3/2025,4/13/2025,C0386,Doanh nghiệp,Văn hóa,Website,Thẻ,Đà Lạt,2,1941000,13%,Hoàn thành,3362000,4.2,Đúng
B00163,12/13/2024,12/26/2024,C0066,Gia đình,Biển,Website,Thẻ,Đà Lạt,1,2662000,5%,Hoàn thành,2529000,4.8,Đúng
B00164,7/6/2025,8/12/2025,C0414,Doanh nghiệp,Biển,Website,Tiền,Hà Nội,2,2788000,3%,Hoàn thành,5420000,5,Đúng
B00165,3/20/2024,5/5/2024,C0165,Gia đình,Biển,App điện thoại,Thẻ,Huế,3,4658000,4%,Hoàn thành,13457000,4.2,Sai
